Liverpool Road Eastbound,7377
Liverpool Road Westbound,7251
Eastren distributor southbound,4263
Eastren distributor northbound,5380
Westren Distributor Eastbound,3050
Westren Distributor Westbound,2961
Cahill Expressway Northbound,1600
Cahill Expressway southbound,3329
City road southbound,938
City road nortbound,928
Brisbane Water Drive Northbound,8144
Brisbane Water Drive Southbound,8137
Burns Bay Road Northbound,4710
Burns Bay Road Southbound,3249
Camden Valley Way Northbound,24976
Camden Valley Way Southbound,25342
Sunnyholt Road Northbound,6610
Sunnyholt Road Southbound,6604
O'riordan Street northbound,3406
O'riordan Street southbound,3517
head street nortbound,1422
head street southbound,1425
putty road northbound,166882
putty road southbound,166886
Newcastle Street Eastbound,1017
Newcastle Street Westbound,1020
Appin Road 7750 Northbound,14539
Appin Road 7750 Southbound,14538
Appin Road 7759 Northbound,16522
Appin Road 7759 Southbound,16425
Pennant Hills Northbound,9045
Pennant Hills Southbound,8919
Pennant Hills Eastbound,5684
Pennant Hills Westbound,5718
Elizabeth Drive2 Westbound,8079
Elizabeth Drive2 Eastbound,8045
Elizabeth Drive Westbound,15027
Elizabeth Drive Eastbound,15041
Camden Valley Way Southbound,25996
Camden Valley Way Northbound,25606
General Holmes Drive Northbound,4881
General Holmes Drive Southbound,4948
Pacific Highway5 Southbound,3904
Pacific Highway5 Northbound,9139
Pacific Highway Southbound,8127
Pacific Highway Northbound,8147
Pacific Highway3 Eastbound,10934
Pacific Highway3 Westbound,10937
Pacific Highway4 Southbound,385
Pacific Highway4 Northbound,389
Stoney Creek Road Eastbound,5449
Stoney Creek Road Westbound,5443
Victoria Road Westbound,3041
Victoria Road Westbound1,1346
Victoria Road Westbound1,1725
Victoria Road Westbound1,1126
Victoria Road Westbound1,2492
Victoria Road Westbound1,1090
Victoria Road Westbound,4286
Victoria Road Westbound,2875
Victoria Road Westbound,1929
Victoria Road Eastbound,312
Victoria Road Eastbound,2514
Victoria Road Eastbound,3171
Victoria Road Eastbound,2742
Victoria Road Eastbound,2021
Strathallen Avenue Northbound,882
Strathallen Avenue Southbound,888
Nelson Bay Road Southbound,23618
Nelson Bay Road Northbound,12863
Princes Highway Southbound,19726
Princes Highway Northbound,19708
Pittwater Road Northbound,12025
Pittwater Road Southbound,12027
Wongala Crescent Westbound,2052
Wongala Crescent Eastbound,2376
Lancaster Street Northbound,1039
Lancaster Street Southbound,1057
30005 - Parramatta Road Westbound,13290
30005 - Parramatta Road Eastbound,13381
Ourimbah Road Eastbound,1010
Ourimbah Road Westbound,1005
Syd Einfeld Drive Eastbound,1205
Syd Einfeld Drive Westbound,1193
Nelson Bay Road Northbound,11208
Nelson Bay Road Southbound,11251
Davies Road Northbound,2967
Davies Road Southbound,2980
60002 - M5 South Western Motorway Eastbound,6762
60002 - M5 South Western Motorway Westbound,6651
Castle Hill Road Westbound,3705
Castle Hill Road Eastbound,3726
Hume Highway Eastbound,6809
Hume Highway Westbound,6858
42101 - M5 South Western Motorway Westbound,13267
42101 - M5 South Western Motorway Eastbound,13271
Power Street Westbound,1798
Power Street Westbound,1429
Power Street Eastbound,2211
Power Street Eastbound,1005
Joseph Street Northbound,552
Joseph Street Northbound,1804
Joseph Street Southbound,1809
Joseph Street Southbound,559
Junction Road Eastbound,1519
Junction Road Westbound,1518
Balmoral Street Northbound,674
Balmoral Street Northbound,380
Balmoral Street Southbound,383
Balmoral Street Southbound,715
Newbridge Road Eastbound,5156
Newbridge Road Westbound,5160
Henry Lawson Drive Westbound,9263
Henry Lawson Drive Westbound,10634
Henry Lawson Drive Eastbound,10654
Henry Lawson Drive Eastbound,9268
Raymond Terrace Road Westbound,15000
Raymond Terrace Road Eastbound,14999
19065 - Parramatta Road(1) Eastbound,2320
19065 - Parramatta Road(1) Eastbound,1497
19065 - Parramatta Road(1) Westbound,1500
19065 - Parramatta Road(1) Westbound,2318
Balmoral Street Southbound,7
Balmoral Street Northbound,1118
25002 - Parramatta Road Westbound,676
25002 - Parramatta Road Eastbound,683
20001 - Western Distributor Westbound,4813
20001 - Western Distributor Westbound,2271
20001 - Western Distributor Eastbound,1056
20001 - Western Distributor Eastbound,1118
01004 - Western Distributor Northbound,778
01004 - Western Distributor Northbound,410
01004 - Western Distributor Southbound,416
01004 - Western Distributor Southbound,794
02396 - King Street Northbound,614
02396 - King Street Northbound,343
02396 - King Street Southbound,340
02396 - King Street Southbound,622
02062 - Enmore Road Northbound,518
02062 - Enmore Road Northbound,252
02062 - Enmore Road Southbound,322
02062 - Enmore Road Southbound,443
69087 - Prospect Highway Southbound,767
69087 - Prospect Highway Southbound,1065
69087 - Prospect Highway Southbound,1084
69087 - Prospect Highway Northbound,1098
69087 - Prospect Highway Northbound,629
69087 - Prospect Highway Northbound,1203
24008 - King Georges Road Northbound,1398
24008 - King Georges Road Southbound,1392
