dep,des,route,time
"-33.91176,151.21283","-34.26375,150.88503",route 1,3370,04:30:00
"-33.90411,151.21413","-34.07583,150.80822",route 2,2513,04:32:24
"-33.89638,151.21594","-33.98443,150.8592",route 3,2087,04:34:18
"-33.88991,151.21733","-32.75232,151.7248",route 4,6684,04:35:53
"-33.88396,151.21743","-33.88588,151.0955",route 5,1342,04:41:00
"-33.88005,151.21691","-33.76829,151.04834",route 6,1420,04:41:49
"-33.87452,151.21758","-33.70012,151.29977",route 7,1798,04:43:00
"-33.87096,151.21811","-33.76311,151.04775",route 8,1111,04:44:30
"-33.86761,151.21745","-33.84027,151.03939",route 9,1552,04:45:31
"-33.87065,151.19042","-32.84302,151.83614",route 10,7175,04:46:43
"-33.87224,151.19377","-33.9162,151.19465",route 11,659,04:52:27
"-33.87491,151.19647","-33.88818,151.13497",route 12,820,04:53:02
"-33.87377,151.20037","-33.78314,151.04585",route 13,1369,04:53:49
"-33.87238,151.20262","-33.97324,151.01874",route 14,1923,04:55:00
"-33.8682,151.20282","-33.72959,151.30019",route 15,1653,04:56:32
"-33.86356,151.20439","-33.77411,150.93531",route 16,1784,04:57:45
"-33.86006,151.20582","-33.88805,151.15883",route 17,1052,04:59:11
"-33.86083,151.2059","-34.05735,150.79434",route 18,2797,05:00:10
"-33.86356,151.20462","-33.86569,150.71219",route 19,2669,05:02:14
"-33.86797,151.20292","-33.78794,151.02782",route 20,1534,05:04:05
"-33.87103,151.2033","-33.73436,151.07699",route 21,1812,05:05:21
"-33.87274,151.2033","-33.86748,151.17582",route 22,395,05:06:52
"-33.87397,151.2024","-34.05278,150.76964",route 23,2894,05:07:10
"-33.87464,151.19859","-33.6977,151.30078",route 24,2025,05:09:26
"-33.87488,151.19575","-34.28524,150.89928",route 25,3615,05:11:07
"-33.8719,151.19321","-32.79236,151.95584",route 26,8043,05:13:40
"-33.87077,151.19038","-33.7598,150.91392",route 27,1928,05:19:36
"-33.86197,151.21391","-33.9191,150.91789",route 28,2004,05:21:05
"-33.8633,151.21326","-33.94955,151.11911",route 29,1167,05:22:34
"-33.86172,151.21317","-33.74051,151.05943",route 30,1288,05:23:26
"-33.86119,151.20833","-33.82686,151.00471",route 31,1822,05:24:39
"-33.86071,151.20576","-33.86472,151.09384",route 32,1092,05:25:58
"-33.86019,151.2047","-33.89273,150.88864",route 33,2813,05:26:49
"-33.86085,151.20436","-33.87691,150.7763",route 34,2851,05:29:21
"-33.86067,151.20541","-33.95719,150.88097",route 35,2454,05:31:31
"-33.84246,151.21116","-32.76213,151.71448",route 36,6860,05:33:29
"-33.8473,151.21269","-33.89013,151.1481",route 37,1019,05:38:44
"-33.85279,151.21052","-34.16964,150.78923",route 38,3292,05:39:23
"-33.85875,151.20675","-33.93,150.98019",route 39,1731,05:41:46
"-33.86059,151.20633","-33.81551,150.99948",route 40,1880,05:43:06
"-33.86121,151.20931","-34.05032,150.71335",route 41,2967,05:44:48
"-33.88449,151.19484","-33.87196,151.19357",route 42,510,05:47:03
"-33.88793,151.1929","-33.9662,150.8747",route 43,2253,05:47:24
"-33.89023,151.18957","-34.05857,150.79092",route 44,2452,05:49:04
"-33.88808,151.19248","-33.87411,151.21762",route 45,589,05:50:54
"-33.88464,151.19468","-33.78799,151.02767",route 46,1731,05:51:15
"-33.47685,151.32401","-33.73796,151.07405",route 47,2733,05:52:20
"-33.47308,151.32282","-32.76913,152.0656",route 48,5814,05:54:48
"-33.46932,151.31924","-33.74474,151.2991",route 49,4491,05:59:06
"-33.46413,151.31736","-34.26409,150.88623",route 50,6702,06:02:33
"-33.46118,151.31323","-33.93885,150.91809",route 51,4765,06:07:29
"-33.45198,151.3178","-32.88141,151.79427",route 52,4685,06:11:08
"-33.45014,151.32216","-33.70281,151.29781",route 53,4072,06:14:33
"-33.44908,151.32649","-32.75405,152.1002",route 54,5831,06:17:48
"-33.44828,151.32664","-33.9287,150.96116",route 55,5207,06:22:01
"-33.44795,151.32695","-33.9649,151.13701",route 56,5200,06:25:47
"-33.44259,151.32917","-33.77206,150.9371",route 57,3225,06:29:43
"-33.43982,151.32872","-33.70987,151.12793",route 58,2408,06:32:21
"-33.43845,151.3267","-33.87095,151.14168",route 59,4243,06:34:25
"-33.43668,151.32073","-33.81845,150.99466",route 60,3460,06:37:37
"-33.43409,151.31648","-33.86205,151.16642",route 61,4317,06:40:12
"-33.43183,151.31607","-33.42793,151.31718",route 62,224,06:43:32
"-33.42857,151.31674","-34.23906,150.83395",route 63,6251,06:43:38
"-33.42872,151.31688","-33.81548,151.15189",route 64,3805,06:48:06
"-33.43225,151.31604","-34.05723,150.77862",route 65,5047,06:50:49
"-33.43507,151.31723","-34.05597,150.77737",route 66,5073,06:54:35
"-33.43725,151.32211","-33.90814,150.89882",route 67,4515,06:58:29
"-33.43854,151.327","-32.75497,151.60783",route 68,3941,07:01:47
"-33.44038,151.32944","-32.74924,152.11138",route 69,5938,07:04:38
"-33.44435,151.32864","-33.92908,151.07204",route 70,5214,07:08:48
"-33.44829,151.32679","-33.82322,151.24263",route 71,4478,07:12:13
"-33.44956,151.32557","-33.99226,150.85102",route 72,4954,07:15:23
"-33.45082,151.31945","-33.95173,150.87995",route 73,5701,07:19:06
"-33.45991,151.31315","-33.95037,151.09742",route 74,5639,07:23:21
"-33.46305,151.31572","-33.95721,150.88122",route 75,4693,07:27:27
"-33.46636,151.3188","-33.93372,151.15282",route 76,5353,07:31:03
"-33.47238,151.32171","-32.81861,151.84313",route 77,4965,07:34:59
"-33.47558,151.324","-32.76245,151.70028",route 78,4460,07:38:31
"-33.48327,151.32447","-32.77373,152.00714",route 79,6025,07:41:39
"-33.83736,151.1451","-33.8645,151.16907",route 80,869,07:45:58
"-33.83077,151.14605","-32.8614,151.79596",route 81,7361,07:46:14
"-33.82716,151.14725","-33.45784,151.31427",route 82,3836,07:51:21
"-33.82487,151.1501","-33.81066,151.02294",route 83,1792,07:54:14
"-33.82062,151.14999","-33.94233,151.05146",route 84,2542,07:55:23
"-33.8185,151.15124","-32.87426,151.79409",route 85,7015,07:56:50
"-33.81516,151.15232","-33.87684,150.84324",route 86,3004,08:01:43
"-33.81513,151.15651","-33.89282,150.88858",route 87,2968,08:03:36
"-33.81344,151.16096","-33.86825,151.17611",route 88,1248,08:05:25
"-33.81498,151.16538","-33.76036,151.278",route 89,2131,08:05:54
"-33.81454,151.1676","-33.42807,151.31692",route 90,3599,08:06:49
"-33.81523,151.15238","-32.78887,151.96239",route 91,7628,08:09:35
"-33.8185,151.15124","-33.94093,151.02216",route 92,2536,08:15:06
"-33.8206,151.15011","-32.7681,152.07646",route 93,8841,08:16:45
